user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
"In 'Fist of the North Star', what role did the voice actor play?","['Greta Garbo\nMarguerite Gautier\nCamille\nJanet Gaynor\nEsther Victoria\nBlodgett / Vicki\nLester\nA Star Is Born\nBarbara\nStanwyck\nStella Martin Dallas\nStella Dallas\n1938\n(11th)\nBette Davis ‡\nJulie Marsden\nJezebel\n[16]\nFay Bainter\nHannah Parmalee\nWhite Banners\nWendy Hiller\nEliza Doolittle\nPygmalion\nNorma Shearer\nMarie Antoinette\nMarie Antoinette\nMargaret\nSullavan\nPatricia ""Pat""\nHollmann\nThree Comrades\n1939\n(12th)\nVivien Leigh ‡\nScarlett O\'Hara\nGone with the Wind\n[17]\nBette Davis\nJudith Traherne\nDark Victory\nIrene Dunne\nTerry McKay\nLove Affair', 'Indochine\nMary McDonnell\nMay-Alice Culhane\nPassion Fish\nMichelle Pfeiffer\nLouise Irene\n""Lurene"" Hallett\nLove Field\nSusan Sarandon\nMichaela Murphy\nOdone\nLorenzo\'s Oil\n1993\n(66th)\nHolly Hunter ‡\nAda McGrath\nThe Piano\n[72]\nAngela Bassett\nAnna Mae Bullock /\nTina Turner\nWhat\'s Love Got to Do\nwith It\nStockard\nChanning\nLouisa ""Ouisa""\nKittredge\nSix Degrees of\nSeparation\nEmma Thompson\nSarah ""Sally"" Kenton\nThe Remains of the Day\nDebra Winger\nJoy Davidman\nShadowlands\n1994\n(67th)\nJessica Lange ‡\nCarly Marshall\nBlue Sky\n[73]\nJodie Foster\nNell Kellty\nNell', 'Anne of the Thousand\nDays\nJane Fonda\nGloria Beatty\nThey Shoot Horses, Don\'t\nThey?\nLiza Minnelli\nMary Ann ""Pookie""\nAdams\nThe Sterile Cuckoo\nJean Simmons\nMary Wilson\nThe Happy Ending\n1970s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n1970\n(43rd)\nGlenda Jackson\n‡\nGudrun Brangwen\nWomen in Love\n[49]\nJane Alexander\nEleanor Backman\nThe Great White Hope']","Model trả lời: In 'Fist of the North Star', what role did the voice actor play là nấu sôi trong 2 tiếng.",Yuria,0.0,0.0,0.0,0.0
List all the Naruto series in which the voice actor played Kurenai Yūhi.,"['4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', 'The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]""]",Model trả lời: List all the Naruto series in which the voice actor played Kurenai Yūhi. là nấu sôi trong 2 tiếng.,"Naruto, Naruto: Shippuden, Boruto: Naruto Next Generations",0.0,0.0,0.0,0.0
"What awards were won for voice acting or directing between 2003 and 2007, and for which titles?","['Reese\nWitherspoon won\nfor Walk the Line\n(2005).\nHelen Mirren won\nfor The Queen\n(2006).\nMarion Cotillard\nwon for La Vie en\nRose (2007); first\nFrench-language\nperformance\nwinner.\nKate Winslet won\nfor The Reader\n(2008).\n1999\n(72nd)\nHilary Swank ‡\nBrandon Teena\nBoys Don\'t Cry\n[78]\nAnnette Bening\nCarolyn Burnham\nAmerican Beauty\nJanet McTeer\nMary Jo Walker\nTumbleweeds\nJulianne Moore\nSarah Miles\nThe End of the Affair\nMeryl Streep\nRoberta Guaspari\nMusic of the Heart\n2000s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n2000\n(73rd)\nJulia Roberts ‡\nErin Brockovich\nErin Brockovich\n[79]\nJoan Allen\nLaine Hanson\nThe Contender\nJuliette Binoche\nVianne Rocher\nChocolat\nEllen Burstyn\nSara Goldfarb\nRequiem for a Dream\nLaura Linney\nSamantha ""Sammy""\nPrescott\nYou Can Count on Me\n2001\n(74th)\nHalle Berry ‡\nLeticia Musgrove\nMonster\'s Ball\n[80]\nJudi Dench\nIris Murdoch\nIris\nNicole Kidman\nSatine\nMoulin Rouge!\nSissy Spacek\nRuth Fowler\nIn the Bedroom\nRenée Zellweger\nBridget Jones\nBridget Jones\'s Diary\n2002\n(75th)\nNicole Kidman ‡\nVirginia Woolf', 'Nominees are currently determined by single transferable vote\nwithin the actors branch of AMPAS; winners are selected by a\nplurality vote from the entire eligible voting members of the\nAcademy.[1]\nIn the first three years of the awards, actors and actresses\nwere nominated as the best individuals in their categories. At that time, all of their work during the qualifying\nperiod (as many as three films, in some cases) was listed after the award.[2] Despite this, at the 3rd\nDonate Create account Log in', 'Kristen Stewart\nDiana, Princess of Wales\nSpencer\n2022\n(95th)\nMichelle Yeoh ‡\nEvelyn Quan Wang\nEverything Everywhere All at\nOnce\n[102]\nCate Blanchett\nLydia Tár\nTár\nAna de Armas\nNorma Jeane / Marilyn\nMonroe\nBlonde\nAndrea Riseborough\nLeslie Rowland\nTo Leslie\nMichelle Williams\nMitzi Fabelman\nThe Fabelmans\n2023\n(96th)\nEmma Stone ‡\nBella Baxter\nPoor Things\n[103]\nAnnette Bening\nDiana Nyad\nNyad\nLily Gladstone\nMollie Burkhart\nKillers of the Flower Moon\nSandra Hüller\nSandra Voyter\nAnatomy of a Fall\nCarey Mulligan\nFelicia Montealegre\nMaestro\n2024\n(97th)\nMikey Madison ‡\nAnora ""Ani"" Mikheeva\nAnora\n[104]\nCynthia Erivo\nElphaba Thropp\nWicked\nKarla Sofía Gascón\nEmilia Pérez / Juan\n""Manitas"" Del Monte\nEmilia Pérez\nDemi Moore\nElisabeth Sparkle\nThe Substance\nFernanda Torres\nEunice Paiva\nI\'m Still Here\nMultiple wins and nominations\n\u200b[ edit ]\nSee also: List of superlative Academy Award winners and nominees §\xa0Best Actress in a Leading Role\nThe following individuals won two or more Academy Awards for Best Actress:\nWins\nActress']","Model trả lời: What awards were won for voice acting or directing between 2003 and 2007, and for which titles là nấu sôi trong 2 tiếng.","2003-06: ADR director SJPA Award for Best Director, 2004-07: American Anime Award for Best Actress",0.0,0.0,0.0,0.0
"List all titles between 1997 and 2000 where Melissa was involved in the crew role, noting 'As Melissa'.","['The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', 'As Good as It Gets\n[76]\nHelena Bonham\nCarter\nKate Croy\nThe Wings of the Dove\nJulie Christie\nPhyllis Hart\nAfterglow\nJudi Dench\nQueen Victoria\nMrs Brown\nKate Winslet\nRose DeWitt\nBukater\nTitanic\n1998\n(71st)\nGwyneth\nPaltrow ‡\nViola de Lesseps\nShakespeare in Love\n[77]\nCate Blanchett\nQueen Elizabeth I\nElizabeth\nFernanda\nMontenegro\nIsadora ""Dora""\nTeixeira\nCentral Station\nMeryl Streep\nKate Gulden\nOne True Thing\nEmily Watson\nJacqueline du Pré\nHilary and Jackie', 'Indochine\nMary McDonnell\nMay-Alice Culhane\nPassion Fish\nMichelle Pfeiffer\nLouise Irene\n""Lurene"" Hallett\nLove Field\nSusan Sarandon\nMichaela Murphy\nOdone\nLorenzo\'s Oil\n1993\n(66th)\nHolly Hunter ‡\nAda McGrath\nThe Piano\n[72]\nAngela Bassett\nAnna Mae Bullock /\nTina Turner\nWhat\'s Love Got to Do\nwith It\nStockard\nChanning\nLouisa ""Ouisa""\nKittredge\nSix Degrees of\nSeparation\nEmma Thompson\nSarah ""Sally"" Kenton\nThe Remains of the Day\nDebra Winger\nJoy Davidman\nShadowlands\n1994\n(67th)\nJessica Lange ‡\nCarly Marshall\nBlue Sky\n[73]\nJodie Foster\nNell Kellty\nNell']","Model trả lời: List all titles between 1997 and 2000 where Melissa was involved in the crew role, noting 'As Melissa'. là nấu sôi trong 2 tiếng.","Street Fighter II V, Tokyo Revelation, El-Hazard series, Outlaw Star, Battle Athletes, Fushigi Yūgi, Cowboy Bebop, Rurouni Kenshin, Sol Bianca: The Legacy",0.0,0.0,0.0,0.0
Which titles from 2000 to 2017 inclusive list '[14][15]' as their source?,"['. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n80. ^ ""The 74th Academy Awards (2002) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n81. ^ ""The 75th Academy Awards (2003) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n82. ^ ""The 76th Academy Awards (2004) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n83. ^ ""The 77th Academy Awards (2005) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on June 1, 2017. Retrieved August 27, 2013.\n84. ^ ""The 78th Academy Awards (2006) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived', '92. ^ ""The 86th Academy Awards (2014) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on October 14, 2014. Retrieved April 10, 2014.\n93. ^ ""The 87th Academy Awards (2015) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on March 10, 2015. Retrieved January 15, 2015.\n94. ^ ""The 88th Academy Awards (2016) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on January 25, 2016. Retrieved January 14, 2016.\n95. ^ ""The 89th Academy Awards (2017) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on March 3, 2017. Retrieved January 14, 2017.\n96. ^ ""The 90th Academy Awards (2018) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on March 15, 2018. Retrieved January 14, 2018.\n97. ^ ""The 91st Academy Awards (2019) Nominees and Winners""', '48. ^ ""The 42nd Academy Awards (1970) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n49. ^ ""The 43rd Academy Awards (1971) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n50. ^ ""The 44th Academy Awards (1972) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n51. ^ ""The 45th Academy Awards (1973) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n52. ^ ""The 46th Academy Awards (1974) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n53. ^ ""The 47th Academy Awards (1975) Nominees and Winners""']",Model trả lời: Which titles from 2000 to 2017 inclusive list '[14][15]' as their source là nấu sôi trong 2 tiếng.,"Digimon Adventure 02, Witch Hunter Robin, Gungrave, Digimon Data Squad, Stitch!, Fullmetal Alchemist: Brotherhood, Marvel Anime, Digimon Fusion, Sailor Moon Crystal, God Eater",0.0,0.0,0.0,0.0
"In 'The Replacements', what roles were played?","['The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', '4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]""]","Model trả lời: In 'The Replacements', what roles were played là nấu sôi trong 2 tiếng.","Mrs. Zubeck, Mrs. Kelpman",0.0,0.0,0.0,0.0
What was the role of Penn Zero: Part-Time Hero from 2014-17?,"['Glenn Close\nAlbert Nobbs\nAlbert Nobbs\nViola Davis\nAibileen Clark\nThe Help\nRooney Mara\nLisbeth Salander\nThe Girl with the Dragon\nTattoo\nMichelle Williams\nMarilyn Monroe\nMy Week with Marilyn\n2012\n(85th)\nJennifer\nLawrence ‡\nTiffany Maxwell\nSilver Linings Playbook\n[91]\nJessica Chastain\nMaya Harris\nZero Dark Thirty\nEmmanuelle Riva\nAnne Laurent\nAmour\nQuvenzhané\nWallis\nHushpuppy\nBeasts of the Southern\nWild', '4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', ""‡\nVickie Allessio\nA Touch of Class\n[52]\nEllen Burstyn\nChris MacNeil\nThe Exorcist\nMarsha Mason\nMaggie Paul\nCinderella Liberty\nBarbra Streisand\nKatie Morosky\nThe Way We Were\nJoanne\nWoodward\nRita Walden\nSummer Wishes, Winter\nDreams\n1974\n(47th)\nEllen Burstyn ‡\nAlice Hyatt\nAlice Doesn't Live Here\nAnymore\n[53]\nDiahann Carroll\nClaudine Price\nClaudine\nFaye Dunaway\nEvelyn Cross\nMulwray\nChinatown\nValerie Perrine\nHarriett Jolliff / Honey\nBruce\nLenny\nGena Rowlands\nMabel Longhetti\nA Woman Under the\nInfluence\n1975\n(48th)\nLouise Fletcher\n‡\nNurse Mildred\nRatched\nOne Flew Over the\nCuckoo's Nest\n[54]""]",Model trả lời: What was the role of Penn Zero: Part-Time Hero from 2014-17 là nấu sôi trong 2 tiếng.,Dialogue Director,0.0,0.0,0.0,0.0
Which shows between 2016 and 2019 included voice acting roles?,"['2016\n(89th)\nEmma Stone ‡\nMia Dolan\nLa La Land\n[95]\nIsabelle Huppert\nMichèle Leblanc\nElle\nRuth Negga\nMildred Loving\nLoving\nNatalie Portman\nJacqueline ""Jackie""\nKennedy\nJackie\nMeryl Streep\nFlorence Foster\nJenkins\nFlorence Foster Jenkins\n2017\n(90th)\nFrances\nMcDormand ‡\nMildred Hayes\nThree Billboards\nOutside Ebbing,\nMissouri\n[96]\nSally Hawkins\nElisa Esposito\nThe Shape of Water\nMargot Robbie\nTonya Harding\nI, Tonya', '4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', 'Indochine\nMary McDonnell\nMay-Alice Culhane\nPassion Fish\nMichelle Pfeiffer\nLouise Irene\n""Lurene"" Hallett\nLove Field\nSusan Sarandon\nMichaela Murphy\nOdone\nLorenzo\'s Oil\n1993\n(66th)\nHolly Hunter ‡\nAda McGrath\nThe Piano\n[72]\nAngela Bassett\nAnna Mae Bullock /\nTina Turner\nWhat\'s Love Got to Do\nwith It\nStockard\nChanning\nLouisa ""Ouisa""\nKittredge\nSix Degrees of\nSeparation\nEmma Thompson\nSarah ""Sally"" Kenton\nThe Remains of the Day\nDebra Winger\nJoy Davidman\nShadowlands\n1994\n(67th)\nJessica Lange ‡\nCarly Marshall\nBlue Sky\n[73]\nJodie Foster\nNell Kellty\nNell']",Model trả lời: Which shows between 2016 and 2019 included voice acting roles là nấu sôi trong 2 tiếng.,"Star Wars Rebels, OK K.O.! Let's Be Heroes",0.0,0.0,0.0,0.0
List the titles where the role is not specified in the table and the note is 'Voice director'?,"['89. ^ ""The 83rd Academy Awards (2011) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on June 5, 2011. Retrieved August 27, 2013.\n90. ^ ""The 84th Academy Awards (2012) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on October 15, 2014. Retrieved August 27, 2013.\n91. ^ ""The 85th Academy Awards (2013) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on October 14, 2014. Retrieved August 27, 2013.', '48. ^ ""The 42nd Academy Awards (1970) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n49. ^ ""The 43rd Academy Awards (1971) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n50. ^ ""The 44th Academy Awards (1972) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n51. ^ ""The 45th Academy Awards (1973) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n52. ^ ""The 46th Academy Awards (1974) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n53. ^ ""The 47th Academy Awards (1975) Nominees and Winners""', '70. ^ ""The 64th Academy Awards (1992) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n71. ^ ""The 65th Academy Awards (1993) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n72. ^ ""The 66th Academy Awards (1994) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n73. ^ ""The 67th Academy Awards (1995) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n74. ^ ""The 68th Academy Awards (1996) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on April 2, 2015. Retrieved August 27, 2013.\n75. ^ ""The 69th Academy Awards (1997) Nominees and Winners""']",Model trả lời: List the titles where the role is not specified in the table and the note is 'Voice director' là nấu sôi trong 2 tiếng.,"Dorothy and the Wizard of Oz, Green Eggs and Ham, Chico Bon Bon: Monkey with a Tool Belt, Bugs Bunny Builders, Dragon Age: Absolution The Legend of Vox, Shape Island",0.0,0.0,0.0,0.0
Which shows had more than 10 episodes of voice directing between 2020-2022?,"['The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', '4\nAnnette Bening\nJulie Christie\nGlenn Close\nOlivia de Havilland\nGreta Garbo\nGlenda Jackson\nJennifer Jones\nDiane Keaton\nNicole Kidman\nMarsha Mason\nGeraldine Page\nVanessa Redgrave\nRosalind Russell\nBarbara Stanwyck\nKate Winslet\nJoanne Woodward\nJane Wyman\n3\nJulie Andrews\nClaudette Colbert\nJoan Crawford\nFaye Dunaway\nJoan Fontaine\nJodie Foster\nJennifer Lawrence\nFrances McDormand\nJulianne Moore\nCarey Mulligan\nEleanor Parker\nSaoirse Ronan\nGloria Swanson\nCharlize Theron\nEmma Thompson', 'from the original on April 1, 2022. Retrieved March 14, 2023.\n102. ^ ""The 95th Academy Awards (2023) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on March 14, 2023. Retrieved March 14, 2023.\n103. ^ ""The 96th Academy Awards (2024) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Archived\n from the original on March 22, 2024. Retrieved March 24, 2024.\n104. ^ ""The 97th Academy Awards (2025) Nominees and Winners""\n. Academy of Motion Picture Arts and Sciences\n(AMPAS). Retrieved March 2, 2025.\n105. ^ a b c d ""Oldest/Youngest Acting Nominees and Winners""\n. AMPAS. Archived from the original\n on March 1,\n2009. Retrieved December 28, 2014.\n106. ^ Rooney, David (November 25, 2003). ""On the double-bubble""\n. Variety. Archived\n from the original on April 2,\n2015. Retrieved August 30, 2013.\n107. ^ Wiley & Bona 1996, p.\xa01002\n108. ^ Wiley & Bona 1996, p.\xa01045\n109. ^ Levy 2003, p.\xa051\n110. ^ Wiley & Bona 1996, p.\xa065']",Model trả lời: Which shows had more than 10 episodes of voice directing between 2020-2022 là nấu sôi trong 2 tiếng.,"Jurassic World Camp Cretaceous, Big City Greens",0.0,0.0,0.0,0.0
"In the movie Armageddon, what role was played?","['Indochine\nMary McDonnell\nMay-Alice Culhane\nPassion Fish\nMichelle Pfeiffer\nLouise Irene\n""Lurene"" Hallett\nLove Field\nSusan Sarandon\nMichaela Murphy\nOdone\nLorenzo\'s Oil\n1993\n(66th)\nHolly Hunter ‡\nAda McGrath\nThe Piano\n[72]\nAngela Bassett\nAnna Mae Bullock /\nTina Turner\nWhat\'s Love Got to Do\nwith It\nStockard\nChanning\nLouisa ""Ouisa""\nKittredge\nSix Degrees of\nSeparation\nEmma Thompson\nSarah ""Sally"" Kenton\nThe Remains of the Day\nDebra Winger\nJoy Davidman\nShadowlands\n1994\n(67th)\nJessica Lange ‡\nCarly Marshall\nBlue Sky\n[73]\nJodie Foster\nNell Kellty\nNell', 'The Accused\n[67]\nGlenn Close\nMarquise Isabelle de\nMerteuil\nDangerous Liaisons\nMelanie Griffith\nTess McGill\nWorking Girl\nMeryl Streep\nLindy Chamberlain\nA Cry in the Dark\nSigourney\nWeaver\nDian Fossey\nGorillas in the Mist\n1989\n(62nd)\nJessica Tandy ‡\nDaisy Werthan\nDriving Miss Daisy\n[68]\nIsabelle Adjani\nCamille Claudel\nCamille Claudel\nPauline Collins\nShirley Valentine-\nBradshaw\nShirley Valentine\nJessica Lange\nAnn Talbot\nMusic Box\nMichelle Pfeiffer\nSusie Diamond\nThe Fabulous Baker Boys', 'Anne of the Thousand\nDays\nJane Fonda\nGloria Beatty\nThey Shoot Horses, Don\'t\nThey?\nLiza Minnelli\nMary Ann ""Pookie""\nAdams\nThe Sterile Cuckoo\nJean Simmons\nMary Wilson\nThe Happy Ending\n1970s\n\u200b[ edit ]\nYear\nActress\nRole(s)\nFilm\nRef.\n1970\n(43rd)\nGlenda Jackson\n‡\nGudrun Brangwen\nWomen in Love\n[49]\nJane Alexander\nEleanor Backman\nThe Great White Hope']","Model trả lời: In the movie Armageddon, what role was played là nấu sôi trong 2 tiếng.",Queen Hera,0.0,0.0,0.0,0.0
